Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
3320	727	28	731	92	170
3326	716	32	716	95	170
3333	702	32	703	102	170
3341	689	37	689	104	170
3349	673	38	676	110	170
3356	663	39	664	116	170
3364	649	44	649	119	170
3371	641	46	641	126	170
3377	628	49	635	132	170
3385	623	52	625	140	170
3392	610	58	614	146	170
3400	601	63	604	156	170
3407	593	68	597	165	170
3415	588	74	588	172	170
3422	585	81	590	185	170
3429	591	85	593	196	170
3437	591	92	597	212	170
3458	614	118	614	262	170
3465	616	131	622	277	170
3472	629	146	636	304	170
3479	632	161	642	330	170
3486	645	182	644	365	170
3493	652	206	653	402	170
3500	687	232	679	447	170
3507	724	262	724	491	170
3514	788	302	752	547	170
3523	874	330	831	592	170
3531	1003	371	928	659	170

