Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
441	754	26	755	88	170
449	738	29	740	93	170
456	725	30	727	98	170
463	710	33	713	101	170
470	698	35	698	106	170
477	681	37	684	110	170
484	667	40	667	115	170
490	652	41	657	120	170
496	642	44	642	126	170
503	629	47	633	131	170
510	619	51	620	136	170
517	608	58	615	143	170
524	606	61	608	153	170
530	599	64	605	161	170
537	599	69	601	171	170
544	594	77	601	180	170
551	594	82	598	194	170
558	588	91	596	206	170
564	590	94	594	218	170
571	586	103	595	236	170
578	591	113	594	250	170
584	592	120	600	266	170
591	603	132	604	288	170
598	606	148	614	310	170
605	626	162	625	340	170
612	643	182	649	374	170
618	677	198	669	402	170
625	722	224	713	439	170
633	816	260	794	491	170
640	899	272	857	515	170
647	986	302	936	569	170
654	1078	349	1003	627	170
661	1201	403	1085	691	170

