Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
48	828	139	826	192	174.5
110	853	144	851	202	174.5
209	856	150	858	218	174.5
264	853	159	854	233	174.5
306	851	166	849	251	174.5
337	852	177	849	276	174.5
376	848	191	849	302	174.5
402	843	199	843	323	174.5
440	840	211	841	349	174.5
476	843	239	839	402	174.5
549	820	278	822	480	174.5
584	800	348	788	605	174.5
603	777	383	778	664	174.5
818	238	404	272	684	174.5
848	409	310	437	534	174.5
893	517	258	526	440	174.5
935	588	224	594	377	174.5
975	641	203	638	328	174.5
1020	679	186	682	297	174.5
1078	711	176	707	273	174.5
1113	716	172	719	265	174.5
1173	735	163	734	247	174.5
1278	754	157	757	234	174.5
1571	540	184	542	285	174.5
1613	488	200	495	316	174.5
1708	338	248	356	403	174.5
1739	258	274	274	446	174.5
1797	104	332	132	533	174.5
1637	425	221	433	353	174.5

