Frame	Head.X	Head.Y	Feet.X	Feet.Y	Height
175	121	258	160	687	170
381	206	192	231	559	170
643	164	148	188	465	170
910	474	390	498	957	170
1152	518	286	533	762	170
1333	498	201	510	592	170
1578	495	145	502	470	170
1902	922	390	895	953	170
2422	890	274	874	738	170
2574	840	186	831	559	170
2799	799	143	795	468	170
3338	1171	338	1123	845	170
3523	1100	257	1068	692	170
3731	1078	192	1057	560	170
3978	1046	141	1032	450	170
183	113	178	159	687	200
384	201	126	232	558	200
645	160	93	188	465	200
913	475	278	499	958	200
1150	518	196	533	761	200
1337	499	130	512	591	200
1584	493	88	504	470	200
1903	927	278	894	955	200
2374	894	189	874	738	200
2520	841	120	832	560	200
2747	800	87	796	468	200
3286	1177	242	1121	845	200
3472	1104	176	1065	689	200
3678	1081	128	1056	561	200
3928	1045	86	1031	451	200


